ts_ms,received_ts_ms,window_slug,outcome,tick_type,price,size,side,best_bid,best_ask,timestamp
1774125173149,1774125173258,btc-updown-15m-1774125000,Down,book,,,,0.29,0.3,2026-03-21 20:32:53.149
1774125173869,1774125173933,btc-updown-15m-1774125000,Down,book,,,,0.28,0.3,2026-03-21 20:32:53.869
1774125173874,1774125173938,btc-updown-15m-1774125000,Down,book,,,,0.28,0.3,2026-03-21 20:32:53.874
1774125174599,1774125174663,btc-updown-15m-1774125000,Down,book,,,,0.28,0.3,2026-03-21 20:32:54.599
1774125174628,1774125174690,btc-updown-15m-1774125000,Down,trade,0.28,2.9,,0.28,0.3,2026-03-21 20:32:54.628
1774125174650,1774125174715,btc-updown-15m-1774125000,Down,book,,,,0.28,0.3,2026-03-21 20:32:54.650
1774125174683,1774125174752,btc-updown-15m-1774125000,Down,trade,0.3,6.066665,,0.28,0.3,2026-03-21 20:32:54.683
1774125175388,1774125175458,btc-updown-15m-1774125000,Down,book,,,,0.29,0.3,2026-03-21 20:32:55.388
1774125175422,1774125175485,btc-updown-15m-1774125000,Down,trade,0.3,24.533332,,0.29,0.3,2026-03-21 20:32:55.422
1774125175794,1774125175858,btc-updown-15m-1774125000,Down,book,,,,0.28,0.3,2026-03-21 20:32:55.794
1774125177518,1774125177584,btc-updown-15m-1774125000,Down,book,,,,0.29,0.3,2026-03-21 20:32:57.518
1774125178678,1774125178756,btc-updown-15m-1774125000,Down,book,,,,0.29,0.3,2026-03-21 20:32:58.678
1774125178682,1774125178761,btc-updown-15m-1774125000,Down,book,,,,0.29,0.31,2026-03-21 20:32:58.682
1774125178693,1774125178756,btc-updown-15m-1774125000,Down,trade,0.3,25.0,,0.29,0.3,2026-03-21 20:32:58.693
1774125178700,1774125178768,btc-updown-15m-1774125000,Down,book,,,,0.29,0.31,2026-03-21 20:32:58.700
1774125178721,1774125178784,btc-updown-15m-1774125000,Down,trade,0.3,21.21,,0.29,0.31,2026-03-21 20:32:58.721
1774125178728,1774125178808,btc-updown-15m-1774125000,Down,book,,,,0.3,0.31,2026-03-21 20:32:58.728
