ts_ms,timestamp,window_slug,window_end_ts,outcome,yes_token_id,no_token_id,yes_bid,yes_ask,yes_ask_size,yes_bid_size,yes_spread,no_bid,no_ask,no_ask_size,no_bid_size,no_spread,yes_mid,no_mid,yes_imbalance,no_imbalance,btc_price
1774483200443,2026-03-26T00:00:00.443,btc-updown-15m-1774482300,1774483200,Up,78066344608182193642558504418717249390276919932853941442074950572705087922633,6403373021621032261017472099670666799533930087876249445597609331995834796539,0.999,,,58291.8,,,0.001,58291.8,,,,,,,71332.02
1774483200443,2026-03-26T00:00:00.443,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.46,0.5,199.06,32.6,0.04,0.5,0.54,32.6,199.06,0.04,0.48,0.52,0.140723,0.859277,71332.02
1774483201444,2026-03-26T00:00:01.444,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.48,0.5,167.86,8.07,0.02,0.5,0.52,8.07,167.86,0.02,0.49,0.51,0.045871,0.954129,71332.02
1774483202446,2026-03-26T00:00:02.446,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.48,0.5,167.86,8.07,0.02,0.5,0.52,103.07,282.86,0.02,0.49,0.51,0.045871,0.732931,71332.02
1774483203447,2026-03-26T00:00:03.447,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.49,0.5,28.84,236.0,0.01,0.5,0.51,236.0,28.84,0.01,0.495,0.505,0.891104,0.108896,71340.28
1774483204448,2026-03-26T00:00:04.448,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.5,0.53,97.07,79.54,0.03,0.47,0.5,79.54,97.07,0.03,0.515,0.485,0.450371,0.549629,71340.28
1774483205449,2026-03-26T00:00:05.449,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.5,0.51,94.0,27.2,0.01,0.49,0.5,27.2,94.0,0.01,0.505,0.495,0.224422,0.775578,71340.28
1774483206449,2026-03-26T00:00:06.449,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.52,0.53,123.07,39.48,0.01,0.47,0.48,39.48,123.07,0.01,0.525,0.475,0.242879,0.757121,71347.23
1774483207450,2026-03-26T00:00:07.450,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.52,0.53,32.07,180.5,0.01,0.45,0.48,180.5,50.67,0.03,0.525,0.465,0.849132,0.219189,71347.23
1774483208450,2026-03-26T00:00:08.450,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.59,0.62,52.61,128.66,0.03,0.38,0.41,128.66,52.61,0.03,0.605,0.395,0.70977,0.29023,71347.23
1774483209450,2026-03-26T00:00:09.450,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.58,0.59,969.52,12.61,0.01,0.41,0.42,12.61,969.52,0.01,0.585,0.415,0.012839,0.987161,71363.99
1774483210451,2026-03-26T00:00:10.451,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.57,0.58,155.51,32.67,0.01,0.42,0.43,32.67,155.51,0.01,0.575,0.425,0.17361,0.82639,71363.99
1774483211452,2026-03-26T00:00:11.452,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.59,0.6,825.0,66.32,0.01,0.4,0.41,66.32,825.0,0.01,0.595,0.405,0.074406,0.925594,71363.99
1774483212452,2026-03-26T00:00:12.452,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.59,0.6,783.0,187.4,0.01,0.4,0.41,187.4,783.0,0.01,0.595,0.405,0.193116,0.806884,71369.0
1774483213454,2026-03-26T00:00:13.454,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.59,0.6,810.5,179.72,0.01,0.4,0.41,179.72,810.5,0.01,0.595,0.405,0.181495,0.818505,71369.0
1774483214455,2026-03-26T00:00:14.455,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.6,0.61,1154.0,12.02,0.01,0.39,0.4,12.02,1154.0,0.01,0.605,0.395,0.010309,0.989691,71369.0
1774483215455,2026-03-26T00:00:15.455,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.58,0.59,3.05,108.1,0.01,0.41,0.42,108.1,3.05,0.01,0.585,0.415,0.97256,0.02744,71362.31
1774483216455,2026-03-26T00:00:16.455,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.54,0.55,272.0,18.26,0.01,0.45,0.46,18.26,272.0,0.01,0.545,0.455,0.062909,0.937091,71362.31
1774483217456,2026-03-26T00:00:17.456,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.54,0.55,337.23,8.56,0.01,0.45,0.46,8.56,337.23,0.01,0.545,0.455,0.024755,0.975245,71362.31
1774483218457,2026-03-26T00:00:18.457,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.54,0.55,1100.62,6.38,0.01,0.45,0.46,6.38,1100.62,0.01,0.545,0.455,0.005763,0.994237,71357.43
1774483219458,2026-03-26T00:00:19.458,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.54,0.55,1059.62,23.31,0.01,0.45,0.46,23.31,1059.62,0.01,0.545,0.455,0.021525,0.978475,71357.43
1774483220459,2026-03-26T00:00:20.459,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.54,0.55,1031.0,94.0,0.01,0.45,0.46,94.0,1031.0,0.01,0.545,0.455,0.083556,0.916444,71357.43
1774483221459,2026-03-26T00:00:21.459,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.54,0.55,1035.94,131.14,0.01,0.45,0.46,131.14,1035.94,0.01,0.545,0.455,0.112366,0.887634,71357.43
1774483222460,2026-03-26T00:00:22.460,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.54,0.55,971.94,131.14,0.01,0.45,0.46,131.14,971.94,0.01,0.545,0.455,0.118885,0.881115,71357.43
1774483223460,2026-03-26T00:00:23.460,btc-updown-15m-1774483200,1774484100,Down,15146470901748629930733977495903890095230239028114934308276180280375884772730,62162989261017617630331135877174956530879406247125352437085554837763511372959,0.54,0.55,1159.03,90.49,0.01,0.45,0.46,90.49,1159.03,0.01,0.545,0.455,0.07242,0.92758,71357.43
