ts_ms,timestamp,window_slug,window_end_ts,outcome,yes_token_id,no_token_id,yes_bid,yes_ask,yes_ask_size,yes_bid_size,yes_spread,no_bid,no_ask,no_ask_size,no_bid_size,no_spread,yes_mid,no_mid,yes_imbalance,no_imbalance,btc_price
1776470400446,2026-04-18T00:00:00.446,btc-updown-15m-1776469500,1776470400,,40773833125960073363785280893551682758627876858534270758419555079539186279060,71779516402068982937930426772916758999836564280032336750646743110573531519683,0.99,,,13304.17,,,0.01,13304.17,,,,,,,77072.01
1776470400446,2026-04-18T00:00:00.446,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.51,0.53,10.0,40.1,0.02,0.47,0.49,40.1,10.0,0.02,0.52,0.48,0.800399,0.199601,77072.01
1776470401447,2026-04-18T00:00:01.447,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.52,0.53,8.98,47.5,0.01,0.47,0.48,47.5,8.98,0.01,0.525,0.475,0.841006,0.158994,77072.01
1776470402447,2026-04-18T00:00:02.447,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.52,0.53,71.96,4.5,0.01,0.47,0.5,100.23,76.96,0.03,0.525,0.485,0.058854,0.434336,77072.01
1776470403447,2026-04-18T00:00:03.447,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.5,0.51,82.68,97.43,0.01,0.49,0.5,97.43,82.68,0.01,0.505,0.495,0.540947,0.459053,77069.6
1776470404448,2026-04-18T00:00:04.448,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.5,0.51,164.48,56.22,0.01,0.49,0.5,56.22,164.48,0.01,0.505,0.495,0.254735,0.745265,77069.6
1776470405448,2026-04-18T00:00:05.448,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.47,0.49,41.12,80.74,0.02,0.51,0.53,80.74,41.12,0.02,0.48,0.52,0.662564,0.337436,77069.6
1776470406449,2026-04-18T00:00:06.449,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.46,0.48,38.12,18.05,0.02,0.52,0.54,18.05,38.12,0.02,0.47,0.53,0.321346,0.678654,77044.8
1776470407449,2026-04-18T00:00:07.449,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.47,0.48,130.05,1.33,0.01,0.52,0.53,1.33,130.05,0.01,0.475,0.525,0.010123,0.989877,77044.8
1776470408450,2026-04-18T00:00:08.450,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.45,0.46,405.0,22.88,0.01,0.54,0.55,22.88,405.0,0.01,0.455,0.545,0.053473,0.946527,77044.8
1776470409450,2026-04-18T00:00:09.450,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.45,0.46,346.73,22.88,0.01,0.54,0.56,12.66,364.0,0.02,0.455,0.55,0.061903,0.966389,77044.8
1776470410450,2026-04-18T00:00:10.450,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.42,0.44,100.51,33.0,0.02,0.56,0.58,33.0,100.51,0.02,0.43,0.57,0.247172,0.752828,77044.8
1776470411450,2026-04-18T00:00:11.450,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.43,0.45,54.78,115.0,0.02,0.55,0.57,115.0,54.78,0.02,0.44,0.56,0.677347,0.322653,77044.8
1776470412451,2026-04-18T00:00:12.451,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.43,0.44,125.0,103.42,0.01,0.56,0.57,103.42,125.0,0.01,0.435,0.565,0.452762,0.547238,77044.79
1776470413452,2026-04-18T00:00:13.452,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.43,0.44,288.71,35.67,0.01,0.56,0.57,35.67,288.71,0.01,0.435,0.565,0.109964,0.890036,77044.79
1776470414453,2026-04-18T00:00:14.453,btc-updown-15m-1776470400,1776471300,,88158581019683713784357357017279310988545447470624685465786723105128531845396,22002123551691006275490076730550826852592027868243995270270127207019322586170,0.43,0.44,275.86,45.67,0.01,0.56,0.57,45.67,275.86,0.01,0.435,0.565,0.14204,0.85796,77044.79
